ActionShort,PHASE #1 ALIGN,PHASE #2 DISCUSS,PHASE #3 ACT
1.1 VISIT_SELF_ASSESS,275,0,0
1.2 MAKE_SELF_ASSESS,161,0,0
1.3 COMPARE_SCORES,266,0,0
1.4 VEW_DISCUSSION,131,0,0
1.5 POST COMMENT,24,0,0
2.1 VISIT_FEEDBACK,0,522,0
2.2 POST_REPLY,0,196,0
2.3 CREATE_ACTION,0,88,0
2.4 VIEW_OWN_ACTIONS,0,161,0
2.5 POST_COMMENT,0,15,0
2.6 VIEW_DISCUSSION,0,51,0
3.1 VISIT_REVISION,0,0,236
3.2 VIEW_ACTIONS,0,0,163
3.3 UPDATE_PROGRESS,0,0,43
3.4 POST_COMMENT,0,0,25
3.5 VIEW_DISCUSSION,0,0,116
3.6 MONITOR_PROGRESS,0,0,13
RWER1,543,0,0
RWER10,0,57,0
RWER11,0,66,0
RWER12,0,45,0
RWER13,0,184,0
RWER14,0,15,0
RWER15,0,0,165
RWER16,0,0,322
RWER17,0,0,24
RWER18,0,0,22
RWER2,198,0,0
RWER3,485,0,0
RWER4,168,0,0
RWER5,48,0,0
RWER6,86,0,0
RWER7,195,0,0
RWER8,0,364,0
RWER9,0,145,0
